Name,State,Latitude,Longitude,Status,Commodity Group,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Mineral Type
Abercorn,QLD,-25.1351,151.1312,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Adamsfield,TAS,-42.7279,146.3296,Mineral deposit,"Platinum Group Elements (PGE) , Cobalt , Nickel",,,,,,Other
Agricola,SA,-36.1867,139.6796,Operating mine,Magnesium,,,,,,Base Metals and Alloys
Albany,WA,-34.6968,118.5312,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Ambergate,WA,-34.0271,115.129,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Andover,WA,-20.8545,117.1182,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Anduramba,QLD,-27.1409,152.1079,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Ant Hill,WA,-22.0909,120.595,Mine - care and maintenance,Manganese Ore,,,,,,Base Metals and Alloys
Anthony,QLD,-22.3107,147.2816,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Area 55,NT,-13.0139,130.9674,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Arrowmith Central,WA,-29.6561,115.1692,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Arrowsmith North,WA,-29.5129,115.1104,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Atacama,SA,-30.7906,132.2773,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Atlas,WA,-30.5382,115.2489,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Atlas-Campaspe,NSW,-33.8833,143.35,Operating mine,Titanium,,,,,,Base Metals and Alloys
Attunga,NSW,-30.9167,150.9337,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Australian Vanadium,WA,-26.9676,118.6463,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Avebury,TAS,-41.9201,145.2485,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Avonbank,VIC,-36.6370,142.3089,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Baal Gammon,QLD,-17.3805,145.3269,Mine - care and maintenance,Indium,,,,,,Rare Earth Elements (REE) and Specialty Elements
Balcanoona,SA,-30.5271,139.3,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Bald Hill,WA,-31.5198,122.1785,Operating mine,"Lithium , Tantalum , Niobium",,,,,,Other
Balla Balla,WA,-20.7660,117.7757,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Balranald,NSW,-34.4599,143.4612,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Bandalup,WA,-33.6086,120.3583,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Barbara,QLD,-20.4206,139.8517,Mine - care and maintenance,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Barnes Hill,TAS,-41.2212,146.7726,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Barrambie,WA,-27.4332,119.1211,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Barrow Creek,NT,-21.5167,134.15,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Barton,SA,-30.5293,132.6789,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Basil,NT,-23.4129,135.3134,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Beharra,WA,-29.4360,115.1115,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Ben Lomond,QLD,-19.3770,146.3,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Beta Hunt,WA,-31.2403,121.6939,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Beyondie,WA,-23.1187,120.5514,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Bidaminna,WA,-31.1005,115.6034,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Bielsdown,NSW,-30.2256,152.7203,Mineral deposit,Antimony,,,,,,Rare Earth Elements (REE) and Specialty Elements
Big Hill-Cookes Creek,WA,-21.6558,120.4625,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Bigrlyi,NT,-22.2202,131.0432,Mineral deposit,Vanadium,,,,,,Base Metals and Alloys
Birthday Gift-Triangle,NSW,-33.4838,142.9037,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Black Swan,WA,-30.3934,121.652,Mine - care and maintenance,"Nickel , Cobalt , PGE",,,,,,Other
Blackwater,TAS,-41.1101,144.9469,Operating mine,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Blue Spec,WA,-21.8209,120.273,Mine - under development,Antimony,,,,,,Rare Earth Elements (REE) and Specialty Elements
Bold Head,TAS,-40.0260,144.0669,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Boonanarring,WA,-31.2237,115.8346,Operating mine,Titanium,,,,,,Base Metals and Alloys
Bootu Creek,NT,-18.6998,134.1258,Mine - care and maintenance,Manganese Ore,,,,,,Base Metals and Alloys
Bowry Creek,TAS,-41.5584,145.171,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Broadhurst,WA,-22.2293,122.218,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Brockman,WA,-18.3209,127.7837,Mineral deposit,"REE, Zirconium, Niobium, , Hafnium, Lithium, Tantalum, Gallium",,,,,,Other
Broken Hill,NSW,-32.0564,141.7906,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
