Year,Production,State,Mineral Type,Gold(t),Production(normalised)
1877,1.0,SA,Gold,0.001102536,1.74816E-07
1880,1.0,SA,Gold,0.001102536,1.74816E-07
1902,1.0,QLD,Iron Ore,,1.09759E-09
1922,1.0,QLD,Iron Ore,,1.09759E-09
1924,1.0,QLD,Iron Ore,,1.09759E-09
1982,1.0,VIC,Iron Ore,,1.09759E-09
1967,1.0,SA,Gold,0.001102536,1.74816E-07
1965,0.1,SA,Gold,6.85777E-05,1.08735E-08
1966,0.2,SA,Gold,0.000171444,2.71839E-08
1861,0.2,TAS,Gold,0.000274311,4.34942E-08
1860,0.3,TAS,Gold,0.000342889,5.43677E-08
1930,0.4,NT,Gold,0.000445755,7.06781E-08
1959,0.5,SA,Gold,0.000548622,8.69884E-08
1963,0.5,SA,Gold,0.000548622,8.69884E-08
1964,0.5,SA,Gold,0.000582911,9.24251E-08
1879,0.7,SA,Gold,0.000720066,1.14172E-07
1978,1.0,SA,Gold,0.001102536,1.74816E-07
1987,1.0,SA,Gold,0.001102536,1.74816E-07
1957,1.1,SA,Gold,0.00120011,1.90287E-07
1960,1.1,SA,Gold,0.001234399,1.95724E-07
1968,1.2,SA,Gold,0.001302977,2.06597E-07
1956,1.3,SA,Gold,0.001474421,2.33781E-07
1958,1.5,SA,Gold,0.001645865,2.60965E-07
1962,1.5,SA,Gold,0.001645865,2.60965E-07
1955,1.6,SA,Gold,0.001714443,2.71839E-07
1954,1.7,SA,Gold,0.001851599,2.93586E-07
1961,1.7,SA,Gold,0.001885888,2.99023E-07
1985,2.0,SA,Gold,0.002205072,3.49632E-07
1986,2.0,SA,Gold,0.002205072,3.49632E-07
1872,2.0,SA,Iron Ore,,2.23031E-09
1880,2.0,SA,Iron Ore,,2.23031E-09
1977,3.0,SA,Gold,0.003307607,5.24448E-07
1928,3.1,NT,Gold,0.003463175,5.49114E-07
1927,3.4,NT,Gold,0.003771775,5.98045E-07
1859,3.6,TAS,Gold,0.003943219,6.25229E-07
1922,3.6,NT,Gold,0.003943219,6.25229E-07
1869,3.8,TAS,Gold,0.004148953,6.5785E-07
1929,4.1,NT,Gold,0.004491841,7.12217E-07
1926,4.4,NT,Gold,0.004800441,7.61148E-07
1862,4.5,QLD,Gold,0.005006174,7.93769E-07
1983,5.0,SA,Gold,0.005512679,8.74079E-07
1984,5.0,SA,Gold,0.005512679,8.74079E-07
1860,5.1,SA,Iron Ore,,5.57577E-09
1923,5.2,NT,Gold,0.005760529,9.13378E-07
1979,6.0,SA,Gold,0.006615215,1.0489E-06
1874,6.1,SA,Iron Ore,,6.69092E-09
1881,6.4,SA,Gold,0.007097795,1.12541E-06
1858,6.8,TAS,Gold,0.007509261,1.19065E-06
1921,7.6,NT,Gold,0.008400772,1.33201E-06
1866,7.7,TAS,Gold,0.008435061,1.33745E-06
1886,8.4,WA,Gold,0.009257993,1.46793E-06
1945,8.6,SA,Gold,0.009498015,1.50599E-06
1878,9.0,SA,Gold,0.009875193,1.56579E-06
1861,9.1,SA,Iron Ore,,1.00364E-08
1972,10.0,VIC,Gold,0.011025358,1.74816E-06
1982,10.0,SA,Gold,0.011025358,1.74816E-06
1988,10.0,SA,Gold,0.011025358,1.74816E-06
1857,10.1,TAS,Gold,0.011109592,1.76151E-06
1908,10.2,WA,Iron Ore,,1.11515E-08
1909,10.2,WA,Iron Ore,,1.11515E-08
1910,10.2,WA,Iron Ore,,1.11515E-08
1977,11.0,VIC,Gold,0.012127894,1.92297E-06
1951,11.3,SA,Gold,0.012412569,1.96811E-06
1978,12.0,VIC,Gold,0.01323043,2.09779E-06
1969,12.0,SA,Gold,0.01323043,2.09779E-06
1927,13.0,SA,Gold,0.014332745,2.27257E-06
1856,13.2,TAS,Gold,0.014572767,2.31063E-06
1952,13.6,SA,Gold,0.014984234,2.37587E-06
1953,13.8,SA,Gold,0.015189967,2.40849E-06
1925,14.2,NT,Gold,0.015635722,2.47917E-06
1970,16.0,SA,Gold,0.017640573,2.79705E-06
1980,16.0,SA,Gold,0.017640573,2.79705E-06
1943,16.1,SA,Gold,0.017795921,2.82169E-06
1918,16.3,NT,Gold,0.018001654,2.85431E-06
1928,16.5,SA,Gold,0.018241676,2.89236E-06
1944,16.8,SA,Gold,0.018481698,2.93042E-06
1971,17.0,SA,Gold,0.018743109,2.97187E-06
1931,17.2,NT,Gold,0.018927453,3.0011E-06
1933,18.5,NT,Gold,0.020367585,3.22944E-06
